areaprot,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
TPA_PC,DE	15 	15 	15 	15 	15 	15 	15 	15 	15 
TPA_PC,DK	8 	8 	8 	8 	8 	8 	8 	8 	9 
TPA_PC,EE	18 	18 	18 	18 	18 	18 	18 	18 	18 
TPA_PC,EL	27 	27 	27 	27 	27 	27 	27 	27 	27 
TPA_PC,ES	27 	27 	27 	27 	27 	27 	27 	27 	27 
TPA_PC,EU27_2020	18 	18 	18 s	18 s	18 s	18 s	18 s	: 	: 
TPA_PC,EU28	18 	18 	18 s	18 s	18 s	18 s	18 s	: 	: 
TPA_PC,FI	13 	13 	13 s	13 s	13 s	13 s	13 s	13 s	13 s
TPA_PC,FR	13 	13 	13 	13 	13 	13 	13 	13 	13 
TPA_PC,HR	37 	37 	37 	37 	37 	37 	37 	: 	: 
TPA_PC,HU	21 	21 	21 	21 	21 	21 	21 	21 	21 
TPA_PC,IE	13 	13 	13 	13 	13 	13 	13 	13 	13 
TPA_PC,IT	19 	19 	19 	19 	19 	19 	19 	19 	19 
TPA_PC,LT	13 	12 	12 	12 	12 	12 	12 	12 	12 
TPA_PC,LU	27 	27 	27 	27 	27 	18 	18 	18 	18 
TPA_PC,LV	12 	12 	12 	12 	12 	12 	12 	12 	12 
TPA_PC,MT	13 	13 	13 	13 	13 	13 	13 	13 	13 
TPA_PC,NL	15 	15 	15 	15 	15 	15 	15 	15 	15 
TPA_PC,PL	20 	20 	20 	20 	20 	20 	20 	20 	20 
TPA_PC,PT	21 	21 	21 	21 	21 	21 	21 	21 	21 
TPA_PC,RO	23 	23 	23 	23 	23 	23 	23 	23 	23 
TPA_PC,SE	12 	12 	12 	12 	12 	13 	13 	13 	13 
TPA_PC,SI	38 	38 	38 	38 	38 	38 	38 	36 	36 
TPA_PC,SK	30 	30 	30 	29 	29 	29 	29 	29 	29 
TPA_PC,UK	9 	9 	9 	9 	9 	9 	9 	9 	9 
